name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lisboa, Portugal",2024-01-16,66.6,59,62.9,66.6,59,62.9,60.1,90.8,0.008,100,4.17,rain,0,0,43.8,28.3,185.6,1008,72.6,6.2,86.2,7.4,4,,2024-01-16T07:53:11,2024-01-16T17:39:34,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-17,64.3,57.6,60.8,64.3,57.6,60.8,57.4,88.8,0.334,100,4.17,rain,0,0,44.3,22.6,233.3,1004.3,59.4,6,90.9,7.7,5,,2024-01-17T07:52:48,2024-01-17T17:40:39,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08532099999,08535099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-18,63.1,55.4,59.1,63.1,55.4,59.1,57,93.2,0.19,100,4.17,rain,0,0,29.5,13.8,216.2,1009,59.2,6,37.7,3.3,2,,2024-01-18T07:52:23,2024-01-18T17:41:44,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-19,58.9,52.3,54.9,58.9,52.3,54.9,52,90.3,1.044,100,4.17,rain,0,0,37.1,18.6,342.3,1008.7,71.6,6,44.1,3.9,2,,2024-01-19T07:51:56,2024-01-19T17:42:50,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-20,57.2,44.6,52.2,57.2,43.2,51.8,44.7,76,0.079,100,4.17,rain,0,0,21,7.7,332.4,1024.8,54.3,6.5,103.8,9,5,,2024-01-20T07:51:26,2024-01-20T17:43:57,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"08534099999,D7126,LPMT,08536099999,LPPT"
"Lisboa, Portugal",2024-01-21,57.2,39.2,47.4,57.2,35.1,46.1,42.8,84.8,0,0,0,,0,0,19.5,7.5,32.1,1033.1,8.9,6.5,129.8,11.4,5,,2024-01-21T07:50:55,2024-01-21T17:45:04,0.35,Clear,Clear conditions throughout the day.,clear-day,"08534099999,D7126,LPMT,08536099999,LPPT"
"Lisboa, Portugal",2024-01-22,60.9,41,50.3,60.9,39.8,50.1,46.3,87.1,0,0,0,,0,0,9.8,5.5,22.8,1036.5,24.3,6.2,97.3,8.5,4,,2024-01-22T07:50:22,2024-01-22T17:46:11,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-23,64.6,47.7,56,64.6,46.4,55.8,53.6,92.2,0.001,100,4.17,rain,0,0,24.2,10,46.5,1035.9,34.9,5.3,118.7,10.2,5,,2024-01-23T07:49:46,2024-01-23T17:47:19,0.42,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-24,67.7,51.3,58.6,67.7,51.3,58.6,53.8,84.5,0,0,0,,0,0,23,9.9,41.9,1034.5,0.4,6.5,132.8,11.5,5,,2024-01-24T07:49:09,2024-01-24T17:48:27,0.46,Clear,Clear conditions throughout the day.,clear-day,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-25,66.6,51.8,58.5,66.6,51.8,58.5,54.4,86.8,0,0,0,,0,0,27.7,10.6,36.1,1031.6,54.8,6.4,114.4,9.8,5,,2024-01-25T07:48:30,2024-01-25T17:49:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-26,66,51.5,58.9,66,51.5,58.9,54,84.1,0,0,0,,0,0,13.6,8.9,36.6,1029,86.1,6.5,126.3,11,5,,2024-01-26T07:47:49,2024-01-26T17:50:44,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
"Lisboa, Portugal",2024-01-27,65.8,49.9,57.1,65.8,48.7,57,53.9,89.5,0,0,0,,0,0,15.9,10.9,73.2,1025.7,54.7,6.3,141.6,12.2,6,,2024-01-27T07:47:06,2024-01-27T17:51:53,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT"
"Lisboa, Portugal",2024-01-28,63,55,58.4,63,55,58.4,54.7,88,0,0,0,,0,0,18.8,8.6,115.3,1024.7,70.3,5.7,76.5,6.8,4,,2024-01-28T07:46:22,2024-01-28T17:53:02,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08534099999,D7126,LPMT,08536099999,LPPT"
"Lisboa, Portugal",2024-01-29,63.1,50,55.7,63.1,50,55.7,53.6,93.1,0,0,0,,0,0,18.3,7.9,42.8,1025.9,29.5,5.8,88,7.7,5,,2024-01-29T07:45:35,2024-01-29T17:54:11,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"08532099999,08534099999,D7126,LPMT,08536099999,LPPT,08537099999"
